								
Playlist download for:

Station: KALX
DJ: Kendra Levine
Number of entries: 9999999
Fields are comma delimited, in the following header order:

playid,show,playtype,genre,timestamp,artist,title,albumtitle,label,prepost,programtype,iswebcast,isrequest
14186339,Kendra K,,,03-10-2015 @ 23:56:00,Jay Reatard,I'm Watching You,Watch Me Fall,Matador,,live,y,
14186338,Kendra K,,,03-10-2015 @ 23:54:00,Hussy,Zummer,Pagan Hiss,Southpaw,,live,y,
14186307,Kendra K,Feature,,03-10-2015 @ 23:52:00,Pow Wows,I Can See But You Don't Know,Broken Curses,Get Hip,,live,y,
14186302,Kendra K,,,03-10-2015 @ 23:49:00,Bare Wires,Oakland Nights,Artificial Clouds,Tic Tac Totally,,live,y,
14186287,Kendra K,Feature Compilation,,03-10-2015 @ 23:46:00,Roobarb,Roobarb's A Star,Glam-o-Rama,Kiss Kiss,,live,y,
14186280,Kendra K,Feature,,03-10-2015 @ 23:43:00,Sir Lord Von Raven,On My Own,The Age of Machines,Guitars &amp; Bongos,,live,y,
14186240,Kendra K,,,03-10-2015 @ 23:37:00,Maddox Brothers and Rose,Don't Bother To Cry,Volume II,Arhoolie,,live,y,
14186239,Kendra K,Compilation,,03-10-2015 @ 23:35:00,Vance Moris &amp; His Alabama Playboys,Crazy About The Boogie,Hillbilly Boogie,Proper,,live,y,
14186216,Kendra K,Feature,,03-10-2015 @ 23:32:00,Steve Earle &amp; The Dukes,Baby's Just As Mean As Me (Featuring Eleanor Whitmore),Terraplane,New West,,live,y,
14186205,Kendra K,,,03-10-2015 @ 23:29:00,Jeannie C. Riley,Teardrops on Page Forty-Three,Yearbooks and Yesterdays,Plantation,,live,y,
14186187,Kendra K,,,03-10-2015 @ 23:26:00,Carol Channing,Diamonds Are A Girl's Best Friend,Gentlemen Prefer Blondes,Columbia,,live,y,
14186186,Kendra K,,,03-10-2015 @ 23:23:00,Gilda Radner,The Audition/ I'm Always Unhappy,Live From New York It's Gilda Radner,Warner Brothers,,live,y,
14186177,Kendra K,,,03-10-2015 @ 23:15:00,Soulful Strings,California Dreaming,S/T,Cadet,,live,y,
14186118,Kendra K,,,03-10-2015 @ 23:13:00,Mothers of Invention,Who Are The Brain Police,Freak Out!,Verve Forecast,,live,y,
14186104,Kendra K,,,03-10-2015 @ 23:11:00,Crystalized Movements,It's All Gone Black,Dog, Tree, Satellite, Seers,Forced Exposure,,live,y,
14186081,Kendra K,Feature,,03-10-2015 @ 23:06:00,AJ Davila Y Terror AmorD,Todo Lo Que Quiero,Beibi,Burger,,live,y,
14186068,Kendra K,Compilation,,03-10-2015 @ 23:04:00,Shakles,Whizz #7,Back From The Grave Vol. 9,Crypt Records,,live,y,
14186019,Kendra K,,,03-10-2015 @ 22:58:00,Fats Domino,I'm Walkin',The Best of Fats Domino,Liberty,,live,y,
14186017,Kendra K,Single,,03-10-2015 @ 22:56:00,Rolling Stones,I Want To Be Love,Come On,Decca,,live,y,
